Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
glob,5,13,9067852413,[^l]f|\*|b[a-t]|r$,11,32,118887,-6235,47080,false
backrefs,5,7,8261384957,[^]k^r|[rst][a-t]e|[c-t][e-t][a-o][tuv]|[g-l]$,17,38,309146,-20767,48877,false
glob,5,14,2405681973,fa|wn| [o-u][c-u]|b|[cde]$,14,35,436209,-20610,31783,false
backrefs,5,8,2463075891,^ho|fc|de[a-r]|[e-u][a-o]t|[tuv][e-h]|[g-n]$,14,35,510424,-28845,37955,false
glob,5,15,2738495106,^p|[d-g][ef]|[uvw][n-s]|y[ -s]|b,17,38,258322,-14345,32127,false
backrefs,5,9,9135874206,[efg][a-t][a-u][a-u]|[a-o][tuv][no]|[g-n]$,13,34,550886,-25579,29267,false
backrefs,5,10,7095231486,[e-h][a-t][a-t][a-e]f||[tuv][n-u][c-t]|[g-n]$,14,35,236896,-12063,35877,false
glob,5,16,1069782534,[^]e^ |yb|f|[ -s][pqr][a-s][i-n]|y[ -s],14,35,384333,-19767,41768,false
backrefs,5,11,9842301657,^r|ab[a-t]|[a-t][e-t][a-o][tuv]|[g-n]$,14,35,192277,-10766,34549,false
glob,5,17,3018795246,fa|[^l](ig|b|\*)[ -s]|a^yiy\1,14,35,298466,-20501,46252,false
backrefs,5,12,2196735084,[m-u][e-h]|[e-h][abc]|u[a-t]p|s[a-o]f[tuv]f|y$,13,34,390979,-23845,39705,false
glob,5,18,1736058429,[uvw][n-s][e-s]|[op][c-y][ -o][ -r][c-m]|vi,17,38,313157,-14938,32064,false
backrefs,5,13,9067852413,[r-y]y|[^p][e-t][m-u][c-h]|[i-n]$,15,36,192633,-10172,39924,false
glob,5,19,6087432195,[^l]\*[ -s]b|| [cd][c-s],13,34,307031,-17298,35783,false
backrefs,5,14,2405681973,[e-i][a-t][l-t][a-r][a-t]|[a-t][a-t][a-o]u|[g-l]$,17,38,436154,-29158,43924,false
glob,5,20,4925731068,a |vc|t[op]|[^a][c-s]\*|[c-r]b|ow|^p|h$,15,36,462282,-32455,46112,false
glob,5,21,3486027915,n[l-r]c|r[o-s]|i^l|[l-p]e[a-y]|[fg][*-h],17,38,408378,-26736,44830,false
backrefs,5,15,2738495106,^b|rb[r-y]x|[i-t]r|[i-t]a$|[e-u][c-t][a-t][tuv]|[g-n]$,18,39,574287,-47768,57862,false
glob,5,22,6941372580,^p|^w|kn|r[h-s]|n[^l][a-h][h-s],17,38,557340,-29627,35189,false
backrefs,5,16,1069782534,^[ab][a-l]|pu|[efg][a-t][a-t][a-t]|[tuv]l|fr|[g-n]$,15,36,289284,-19798,49174,false
glob,5,23,1068243795,^w|pe[m-t]|fa|lo|r[h-s]|[cd]$,19,40,300422,-16938,37799,false
